REGION,YEAR,WEEK,%UNWEIGHTED ILI,tempmax,tempmin,temp,humidity,precip,windspeedmean,solarradiation,uvindex
hawaii,2010,40,1.02934,84.82857143,71.97142857,77.88571429,68.74285714,0.028857143,6.128571429,279.9,9.428571429
hawaii,2010,41,1.75246,86.14285714,74.38571429,79.65714286,61.74285714,0.006142857,10.1,277.7714286,9
hawaii,2010,42,0.755124,85.18571429,74.11428571,79.22857143,60.5,0.004142857,10.18571429,255.6,8.571428571
hawaii,2010,43,1.57434,84.15714286,72.21428571,78.38571429,67.82857143,0.000285714,6.314285714,257.9857143,9
hawaii,2010,44,1.77398,84.12857143,74.82857143,78.84285714,65.45714286,0.015142857,12.41428571,224.8142857,8.285714286
hawaii,2010,45,1.17429,81.87142857,72.2,76.44285714,72.67142857,0.026571429,8.285714286,208.3571429,7.428571429
hawaii,2010,46,1.31204,83.67142857,73.11428571,77.74285714,66.21428571,0.003714286,8.914285714,219.3428571,7.857142857
hawaii,2010,47,1.57422,82.2,69.94285714,76.05714286,73.07142857,0.032285714,5.7,203.6,7.428571429
hawaii,2010,48,1.96305,82.88571429,71.05714286,76.52857143,66.77142857,0.002,8.885714286,215.3142857,8
hawaii,2010,49,2.42215,82.31428571,71.7,76.27142857,69.17142857,0.038,10.72857143,198.9,7.571428571
hawaii,2010,50,2.51225,78.7,67.14285714,72.95714286,73.25714286,0.233857143,6.471428571,158.9857143,6
hawaii,2010,51,2.21704,79.81428571,69.21428571,74.65714286,76.55714286,0.003857143,4.342857143,199.7714286,7.285714286
hawaii,2010,52,3.34378,77.68571429,70.05714286,73.68571429,89.77142857,0.582714286,3.842857143,146.2857143,5.428571429
hawaii,2011,1,2.44275,79.92857143,71.24285714,75.4,81.15714286,0.244,6.042857143,143.4428571,5.428571429
hawaii,2011,2,2.01871,78.14285714,68.3,72.92857143,68.64285714,0.003142857,8.042857143,195.9714286,7.428571429
hawaii,2011,3,3.2167,77.9,66.4,72.88571429,79.82857143,0.447857143,6.685714286,160.8142857,6.285714286
hawaii,2011,4,3.9489,79.07142857,67.85714286,73.34285714,71.08571429,0.008571429,6.714285714,212.2428571,7.714285714
hawaii,2011,5,3.73887,79.94285714,68.55714286,73.71428571,68.74285714,0,7.185714286,231.6857143,8
hawaii,2011,6,4.71753,79.57142857,65.18571429,72.37142857,72.68571429,0.009428571,5.942857143,237.6857143,8.285714286
hawaii,2011,7,5.72271,78.6,69.47142857,73.7,80.8,0.248857143,6.085714286,203.2428571,7.428571429
hawaii,2011,8,5.54855,79.84285714,70.81428571,75.61428571,77.32857143,0.013,4.842857143,192.6571429,7.285714286
hawaii,2011,9,5.25433,80.52857143,69.85714286,74.91428571,74.1,0.073571429,5.185714286,188.1571429,6.714285714
hawaii,2011,10,5.17388,79.05714286,69.52857143,74.1,76.14285714,0.138857143,6.514285714,181.6857143,6.714285714
hawaii,2011,11,4.2368,81.01428571,70.84285714,75.27142857,73.71428571,0.055,8.914285714,275.2571429,9
hawaii,2011,12,1.97368,81.51428571,71.2,76,66.65714286,0.009857143,11.82857143,282.9,9.571428571
hawaii,2011,13,2.75953,80.72857143,71.58571429,75.51428571,64.81428571,0.017,14.95714286,289.0714286,9.857142857
hawaii,2011,14,2.79948,82.11428571,71.01428571,75.75714286,66.04285714,0.012,9.9,300.5285714,9.714285714
hawaii,2011,15,1.85053,80.95714286,69.54285714,75,72.02857143,0.151571429,7.214285714,227.7,7.714285714
hawaii,2011,16,2.55447,81.17142857,72.44285714,76.35714286,74.01428571,0.070714286,7.671428571,285.5428571,9.428571429
hawaii,2011,17,1.77134,82.7,71.08571429,76.68571429,70.35714286,0.011428571,6.3,316.3142857,10
hawaii,2011,18,0.603774,83.41428571,71.84285714,77.08571429,68.62857143,0.114428571,7.442857143,301.9714286,9.428571429
hawaii,2011,19,1.41176,82.05714286,71.92857143,76.24285714,71.17142857,0.230571429,11.01428571,191.7428571,6.285714286
hawaii,2011,20,1.40741,82.34285714,72.51428571,77.18571429,76.72857143,0.204428571,6.885714286,219.6571429,7.428571429
hawaii,2011,21,1.86625,83.24285714,72.05714286,77.41428571,67.58571429,0.031,8.842857143,322.4714286,9.714285714
hawaii,2011,22,1.13754,83.94285714,74.71428571,78.75714286,62.3,0.005857143,14.68571429,331.1857143,10
hawaii,2011,23,1.2334,82.65714286,72.98571429,77.45714286,69.15714286,0.225,11.5,229.0857143,7.285714286
hawaii,2011,24,0.756534,83.28571429,73.41428571,77.91428571,68.71428571,0.010571429,10.92857143,271.3428571,8.571428571
hawaii,2011,25,1.1612,84.17142857,74.62857143,78.91428571,68.88571429,0.003428571,11.5,279.2,8.857142857
hawaii,2011,26,1.57618,83.75714286,73.47142857,77.94285714,72.9,0.050857143,10.44285714,303.5285714,9.285714286
hawaii,2011,27,2.35097,84.32857143,73.98571429,78.72857143,66.07142857,0.005142857,10.97142857,320.0714286,9.714285714
hawaii,2011,28,1.63205,85.17142857,74.04285714,78.88571429,66.34285714,0.009285714,11.31428571,326.0571429,9.857142857
