REGION,YEAR,WEEK,%UNWEIGHTED ILI,tempmax,tempmin,temp,humidity,precip,windspeedmean,solarradiation,uvindex
Nevada,2010,40,1.66683,86.24285714,44.88571429,64.62857143,37.52857143,0.016285714,2.342857143,222.4714286,7.285714286
Nevada,2010,41,1.63633,59.92857143,42.7,50.7,71.64285714,0.179714286,3.828571429,167.6142857,6.428571429
Nevada,2010,42,1.5086,71.61428571,40.28571429,55.17142857,54.78571429,0,2.585714286,203.1285714,7.142857143
Nevada,2010,43,2.14451,60.62857143,40.42857143,50.32857143,63.62857143,0.044285714,4.214285714,158.4857143,6
Nevada,2010,44,1.76761,53.65714286,36.14285714,44.67142857,52.74285714,0.189714286,7.657142857,154.6857143,6
Nevada,2010,45,0.805239,65.24285714,35.18571429,48.1,62.5,0,2.614285714,144.4285714,5.428571429
Nevada,2010,46,2.63276,45.77142857,27.61428571,36.25714286,68.71428571,0.063571429,4.142857143,131.6428571,5.428571429
Nevada,2010,47,3.10198,54.02857143,31.88571429,42.17142857,56.44285714,0.030285714,7.714285714,136.6,5.571428571
Nevada,2010,48,2.89043,35.88571429,15.42857143,25.78571429,64.97142857,0.052714286,7.428571429,113.2571429,4.857142857
Nevada,2010,49,3.28279,43.77142857,21.35714286,32.08571429,65.84285714,0.019857143,4.242857143,110.1571429,4.714285714
Nevada,2010,50,4.28725,51.11428571,35.3,42.42857143,66.75714286,0.038142857,6.114285714,84.85714286,3.714285714
Nevada,2010,51,3.46784,44.75714286,27.44285714,35.6,73.22857143,0.152714286,5.442857143,79.91428571,3.285714286
Nevada,2010,52,3.88664,42.2,22.85714286,32.31428571,76.35714286,0.077714286,4.357142857,74.3,3.285714286
Nevada,2011,1,3.08241,35.62857143,20,28.18571429,68.92857143,0.114285714,6.028571429,95.1,4.142857143
Nevada,2011,2,3.31421,36.1,14.18571429,23.28571429,79.15714286,0,1.6,113.9285714,4.571428571
Nevada,2011,3,3.78455,42.72857143,22.85714286,32.11428571,68.84285714,0.003857143,3.242857143,112.9714286,4.571428571
Nevada,2011,4,3.83545,53.6,27.81428571,39.15714286,60.57142857,0,3.157142857,143.0285714,5.857142857
Nevada,2011,5,4.03184,51.45714286,23,35.55714286,59.87142857,0,2.6,146.7571429,6
Nevada,2011,6,3.71371,45.68571429,19.88571429,32.22857143,56.77142857,0.026571429,3.357142857,151.8285714,5.714285714
Nevada,2011,7,4.06365,50.22857143,23.22857143,35.57142857,48.9,0,4.128571429,183.4,6.857142857
Nevada,2011,8,4.06769,42.62857143,26.42857143,34.87142857,61.71428571,0.252857143,11.6,131.2571429,5.142857143
Nevada,2011,9,4.78919,33.88571429,11.78571429,23.38571429,65.82857143,0.065142857,5.742857143,177.6714286,6.714285714
Nevada,2011,10,3.27375,45.87142857,21.17142857,34.08571429,56.7,0.060714286,6.271428571,190.3857143,6.714285714
Nevada,2011,11,3.08045,49.67142857,32.37142857,40.55714286,57.77142857,0.064142857,7.014285714,208.4714286,7.571428571
Nevada,2011,12,4.29749,44.57142857,29.52857143,37.65714286,61.9,0.300571429,10.84285714,164.0285714,5.857142857
Nevada,2011,13,2.27938,38.77142857,28.32857143,33.2,68.48571429,0.196428571,8.957142857,166.7714286,6
Nevada,2011,14,2.21222,59.32857143,33.31428571,46.35714286,50.77142857,0.000857143,6.685714286,261.9714286,8.571428571
Nevada,2011,15,2.11339,49.85714286,27.02857143,38.37142857,51.9,0.007714286,6.3,260.5571429,8.428571429
Nevada,2011,16,3.12605,54.25714286,30.92857143,42.88571429,48.57142857,0.001428571,6.171428571,272.0428571,8.714285714
Nevada,2011,17,1.55288,54.1,38.74285714,45.81428571,59.21428571,0.053,8.342857143,250.8428571,8.571428571
Nevada,2011,18,2.51242,52.58571429,34.28571429,43.3,46.17142857,0.006142857,8.8,313.6428571,9.428571429
Nevada,2011,19,2.4206,68.05714286,36.91428571,53.21428571,34.8,0.001142857,6.114285714,346.1142857,10
Nevada,2011,20,0.789052,61.38571429,36.55714286,49.45714286,47.4,0.012285714,7.528571429,305.6714286,9
