REGION,YEAR,WEEK,%UNWEIGHTED ILI,tempmax,tempmin,temp,humidity,precip,windspeedmean,solarradiation,uvindex
Vermont,2010,40,1.47641,64.91428571,50.31428571,57.05714286,83.8,0.420714286,6.085714286,98.64285714,3.714285714
Vermont,2010,41,1.35777,57.85714286,42.47142857,49.21428571,73.25714286,0.053,4.142857143,141.7428571,5.285714286
Vermont,2010,42,1.48221,53.17142857,33.58571429,43.22857143,74.44285714,0.151428571,6.242857143,138.6142857,5.428571429
Vermont,2010,43,1.44393,47.28571429,32.5,40.3,64.72857143,0.017714286,6.942857143,125.3285714,5
Vermont,2010,44,1.25276,54.15714286,38.01428571,46.54285714,81.2,0.103857143,5.042857143,68.22857143,2.857142857
Vermont,2010,45,1.12705,40.35714286,29.05714286,34.44285714,80.74285714,0.081571429,5.385714286,87.1,3.571428571
Vermont,2010,46,1.79054,46.32857143,27.68571429,34.64285714,75.74285714,0.024857143,3.657142857,92.78571429,3.857142857
Vermont,2010,47,1.94011,45.72857143,32.22857143,39.12857143,72.67142857,0.071428571,7.257142857,74.61428571,3.142857143
Vermont,2010,48,1.57528,36.11428571,26.05714286,31.31428571,66.9,0.040571429,7.157142857,51.7,2.428571429
Vermont,2010,49,1.15663,37.72857143,26.21428571,32.41428571,78.97142857,0.078285714,6.471428571,55.54285714,2.714285714
Vermont,2010,50,1.34553,22.01428571,12.95714286,17.62857143,73.25714286,0.005,6.228571429,41.92857143,1.857142857
Vermont,2010,51,1.51873,27.58571429,11.62857143,20.18571429,81.68571429,0.119,5.1,37.25714286,1.857142857
Vermont,2010,52,1.81087,24.27142857,15.48571429,20.07142857,82.72857143,0.001857143,5.685714286,46.92857143,2.285714286
Vermont,2011,1,1.77179,29.52857143,15.35714286,22.24285714,79.2,0.013142857,5.614285714,58.6,2.714285714
Vermont,2011,2,1.48631,27.2,15.28571429,21.95714286,74.9,0.038,4.257142857,53,2.714285714
Vermont,2011,3,1.74683,20.24285714,9.014285714,14.71428571,79.97142857,0.090571429,5.828571429,50.58571429,2.285714286
Vermont,2011,4,2.17977,19.88571429,4.671428571,12.97142857,77.15714286,0.086428571,4,66.2,2.857142857
Vermont,2011,5,2.47765,19.12857143,2.671428571,11.64285714,73.85714286,0.010142857,2.9,79.47142857,3.714285714
Vermont,2011,6,2.73263,20.38571429,2.7,11.72857143,74.5,0.254142857,2.985714286,93.54285714,4
Vermont,2011,7,3.43809,26.48571429,10.92857143,19.85714286,68.75714286,0.055571429,6.114285714,91.24285714,4
Vermont,2011,8,2.53743,37.9,10.21428571,24.14285714,64.9,0.013,7.442857143,96.91428571,4
Vermont,2011,9,2.28095,23.02857143,4.285714286,14.25714286,61.55714286,0.085857143,5.628571429,126.8,4.857142857
Vermont,2011,10,2.74522,30.45714286,11.37142857,21.42857143,64.11428571,0.077285714,9.514285714,123.9857143,4.857142857
Vermont,2011,11,2.12912,34.55714286,19.58571429,27.41428571,85.54285714,0.669285714,7.671428571,99.62857143,3.857142857
Vermont,2011,12,1.53347,43.27142857,26.84285714,35.34285714,70.22857143,0.014714286,6.585714286,159.5,5.857142857
Vermont,2011,13,1.67224,31.78571429,17.64285714,25.27142857,68.32857143,0.025,6.371428571,153.7428571,5.428571429
Vermont,2011,14,1.83993,36.31428571,23.41428571,29.55714286,62.74285714,0.052857143,8.571428571,177.3428571,5.857142857
Vermont,2011,15,2.00573,43.72857143,24.31428571,34.34285714,65.81428571,0.082285714,5.371428571,192.7,6.714285714
Vermont,2011,16,1.43522,51.12857143,33.51428571,41.68571429,66.02857143,0.238571429,7.057142857,160.3571429,5.714285714
Vermont,2011,17,1.32743,46.1,32.92857143,38.68571429,68.3,0.255714286,7.828571429,194.7571429,6.428571429
Vermont,2011,18,1.514,62.58571429,43.91428571,53.6,74.87142857,0.225428571,6.542857143,203.3285714,7
Vermont,2011,19,1.96672,60.48571429,39.81428571,50.4,67.75714286,0.135714286,6.157142857,195.9428571,6.285714286
Vermont,2011,20,1.4565,65.41428571,43.01428571,54.87142857,60.6,0.067571429,5.5,267.1714286,8.142857143
Vermont,2011,21,1.1976,62.88571429,52.3,56.85714286,87.7,0.396142857,3.657142857,142.0285714,4.857142857
Vermont,2011,22,1.12641,72.34285714,54.87142857,63.02857143,78.01428571,0.695714286,7.457142857,229.9714286,7.285714286
Vermont,2011,23,1.06724,75.05714286,54.7,64.5,64.81428571,0.108,6.914285714,288.3857143,8.428571429
Vermont,2011,24,0.586166,75.4,53.61428571,64.22857143,74.37142857,0.177285714,3.2,231.9571429,7.428571429
Vermont,2011,25,1.18765,70.2,53.04285714,61.5,76.71428571,0.157714286,3.971428571,247.9571429,7.428571429
Vermont,2011,26,0.645919,70.12857143,51.94285714,60.74285714,76.35714286,0.253571429,5.128571429,249.5,7.142857143
Vermont,2011,27,0.759975,74.34285714,57.02857143,65.61428571,76.78571429,0.017285714,4.028571429,274.3285714,8
Vermont,2011,28,0.711322,78.8,58.07142857,68.2,73.44285714,0.183714286,4.5,275.2857143,8
Vermont,2011,29,0.8329,79.92857143,57.65714286,68.9,70.84285714,0.069714286,3.2,330.6142857,9.285714286
Vermont,2011,30,1.0981,85.78571429,63.48571429,75.41428571,67.17142857,0.013857143,4.8,274.9,8.285714286
Vermont,2011,31,1.01083,76.28571429,56.71428571,66.5,79.11428571,0.061857143,4.585714286,266.8,7.857142857
Vermont,2011,32,0.996016,79.95714286,56.04285714,68.37142857,73.71428571,0.001714286,2.828571429,250.5571429,7.285714286
Vermont,2011,33,1.81818,76.9,58.51428571,66.91428571,78.92857143,0.177428571,3.985714286,245.7285714,7.428571429
Vermont,2011,34,1.49254,76.68571429,56.44285714,65.82857143,80.87142857,0.366428571,2.9,214.1571429,6.714285714
Vermont,2011,35,1.45202,75.37142857,55.97142857,65.3,77.48571429,0.112571429,4.957142857,221.9428571,7.428571429
Vermont,2011,36,2.0202,73.97142857,54.92857143,64.55714286,78.2,0.735571429,4.957142857,221.0428571,7
Vermont,2011,37,2.17391,69.42857143,57.02857143,63.08571429,84.68571429,0.286142857,3.1,176.2,6.142857143
Vermont,2011,38,1.10926,67.4,46.71428571,57.15714286,79.02857143,0.068714286,4.371428571,193.8142857,6.714285714
Vermont,2011,39,1.27728,69.42857143,52.27142857,59.3,84.34285714,0.102,2.885714286,161.4571429,5.714285714
Vermont,2011,40,1.43991,70.05714286,53.01428571,60.34285714,83.35714286,0.295285714,4.5,144.5571429,5.285714286
Vermont,2011,41,1.52211,60.04285714,39.75714286,49.12857143,82.1,0.091285714,3.385714286,150.3142857,5.714285714
Vermont,2011,42,1.06132,65.21428571,47.41428571,55.27142857,78.94285714,0.220857143,4.257142857,128.8857143,4.857142857
Vermont,2011,43,1.23529,54.67142857,45.15714286,49.77142857,75.37142857,0.054571429,5.514285714,115.3428571,4.857142857
Vermont,2011,44,1.66756,45.78571429,32.7,39.07142857,76.68571429,0.043571429,3.8,100.4428571,4.285714286
Vermont,2011,45,1.29151,49.22857143,27.14285714,37.48571429,73.62857143,0.018714286,3.842857143,116.8571429,4.714285714
Vermont,2011,46,1.10277,57.21428571,31.98571429,43.6,70.07142857,0.016285714,5.257142857,103.3142857,4.571428571
Vermont,2011,47,2.11538,52.97142857,33.84285714,43.54285714,64.44285714,0.017714286,6.728571429,64.71428571,3
Vermont,2011,48,1.84139,41.75714286,25.45714286,33.27142857,79.11428571,0.154,2.942857143,62.55714286,3.285714286
Vermont,2011,49,1.60576,46.78571429,29.98571429,39.1,80.82857143,0.056142857,5.185714286,60.32857143,2.714285714
Vermont,2011,50,1.58254,40.02857143,29.41428571,35.28571429,78.67142857,0.097857143,5.614285714,41.72857143,2
Vermont,2011,51,2.23263,39.3,22.01428571,29.8,77.24285714,0.058,5.257142857,64.85714286,3
Vermont,2011,52,2.79251,31.5,11.3,22.55714286,80.61428571,0.093,3.642857143,65.94285714,3
Vermont,2012,1,2.18978,28.84285714,9.571428571,20.67142857,83.04285714,0.126428571,4.171428571,47.91428571,2.285714286
Vermont,2012,2,2.66864,30.27142857,12.31428571,21.6,77.95714286,0.031857143,5.428571429,51.58571429,2.285714286
Vermont,2012,3,2.09581,31.4,14.17142857,23.25714286,77.28571429,0.069142857,5.985714286,57.24285714,2.428571429
Vermont,2012,4,1.97239,22.1,-0.5,10.78571429,73.82857143,0.037571429,5.957142857,76.27142857,3.428571429
Vermont,2012,5,1.82735,33.67142857,20.75714286,27.62857143,78.1,0.175,6.3,64.91428571,2.857142857
Vermont,2012,6,2.17941,33.14285714,16.45714286,25.12857143,75.42857143,0.030428571,5.2,88.31428571,3.857142857
Vermont,2012,7,1.73134,35.32857143,10.8,24.74285714,62.58571429,0,4.714285714,120.9,5
Vermont,2012,8,2.30133,32.7,21.95714286,27.05714286,68.2,0.009,5.714285714,107.7714286,4.428571429
Vermont,2012,9,1.99024,33.82857143,20.07142857,27.87142857,77.21428571,0.071857143,6.614285714,102.3142857,4.571428571
Vermont,2012,10,1.89179,32.3,14.21428571,23.41428571,75.42857143,0.049857143,7.214285714,105.9714286,4.142857143
Vermont,2012,11,2.68362,37.84285714,18.9,29.3,61.77142857,0.056428571,6.871428571,162.5428571,6.142857143
Vermont,2012,12,2.87338,52.54285714,32.82857143,41.78571429,74.84285714,0.041142857,3.257142857,157.1,6
Vermont,2012,13,3.0589,70.75714286,41.32857143,55.25714286,59.84285714,0.003857143,2.928571429,194.0714286,7
Vermont,2012,14,2.89421,41.27142857,27.04285714,32.88571429,64.91428571,0.039,7.671428571,165.9285714,6.142857143
Vermont,2012,15,2.58732,43.42857143,28.22857143,36.04285714,55.61428571,0.012714286,7.128571429,206.9,7
Vermont,2012,16,2.7515,50.54285714,32.7,41.61428571,67.28571429,0.067857143,4.985714286,174.3,5.714285714
Vermont,2012,17,2.55958,69.52857143,40.81428571,56.24285714,56.5,0.042428571,6.671428571,240.5285714,7.857142857
Vermont,2012,18,1.90194,48.38571429,33.81428571,40.55714286,75.45714286,0.264571429,8.728571429,194.9,6.285714286
Vermont,2012,19,2.09489,54.85714286,38.91428571,46.62857143,72.02857143,0.150142857,6.4,183.7714286,5.714285714
Vermont,2012,20,1.84697,63.1,39.77142857,51.58571429,70.17142857,0.136285714,5.728571429,234.3,7.142857143
Vermont,2012,21,1.97548,69.2,46.87142857,57.42857143,72.55714286,0.088285714,5.385714286,258.1571429,7.428571429
Vermont,2012,22,1.84758,75.81428571,55.77142857,66.48571429,72.01428571,0.008285714,6.857142857,278.9857143,8.285714286
Vermont,2012,23,1.65111,71.6,51.15714286,61.67142857,71.87142857,0.278142857,4.485714286,221.4714286,7
Vermont,2012,24,1.14796,65.32857143,47.47142857,55.48571429,80.14285714,0.190142857,3.528571429,235.6285714,7.285714286
Vermont,2012,25,1.31034,75.88571429,50.01428571,63.27142857,69.52857143,0.053142857,4.871428571,314.7,9.285714286
Vermont,2012,26,1.25698,80.18571429,58.48571429,69.94285714,70.01428571,0.001714286,6.2,313.0571429,9
Vermont,2012,27,1.11199,72.95714286,54.21428571,63.88571429,75.71428571,0.354,5.728571429,279.2857143,8.142857143
Vermont,2012,28,0.96401,78.65714286,58.57142857,68.1,76.51428571,0.142857143,3.571428571,304.8714286,9.142857143
Vermont,2012,29,1.14204,79.95714286,51.9,66.62857143,65.98571429,0,3.014285714,330.5714286,9
Vermont,2012,30,1.14094,80.07142857,55.21428571,67.41428571,75.12857143,0.153,3.2,273.8142857,8.285714286
Vermont,2012,31,1.08992,76.1,59.38571429,67.57142857,78.54285714,0.275428571,4.042857143,262.2857143,8.285714286
Vermont,2012,32,1.17647,82.42857143,60.74285714,70.35714286,78.72857143,0.009857143,3.428571429,270.2428571,8.142857143
Vermont,2012,33,1.44928,78.67142857,59.37142857,68.5,81.57142857,0.313,3.928571429,249.1714286,7.428571429
Vermont,2012,34,1.71674,76.14285714,58.5,66.62857143,80.71428571,0.033285714,2.742857143,242.1571429,8
Vermont,2012,35,1.16891,77.2,50.3,63,76.31428571,0.017285714,1.957142857,275.0857143,8.428571429
Vermont,2012,36,1.60668,76.71428571,54.28571429,66.34285714,71.92857143,0.076857143,4.1,241.3571429,7.857142857
Vermont,2012,37,1.24183,75.01428571,55.47142857,64.21428571,82.64285714,0.306571429,4.542857143,212.4142857,7.428571429
Vermont,2012,38,1.95707,69.17142857,45.22857143,57.17142857,76.24285714,0.008,4.3,231.7,7.571428571
Vermont,2012,39,1.69306,66.7,42.14285714,53.71428571,79.51428571,0.272857143,5.671428571,208.7428571,6.857142857
